sample Items	X0	X1		out		list0			list1			list2			list3			list4			list5			list6			list7			list8		
27293	-368	-482	==>	2									-368	-482																		
27294	906	-258	==>	3												906	-258															
27295	544	-528	==>	3												544	-528															
27296	-452	-738	==>	3												-452	-738															
27297	-524	37	==>	2									-524	37																		
27298	-753	522	==>	3												-753	522															
27299	-452	393	==>	2									-452	393																		
27300	184	98	==>	0			184	98																								
27301	-909	-63	==>	3												-909	-63															
27302	-888	997	==>	3												-888	997															
27303	-895	-612	==>	3												-895	-612															
27304	-343	887	==>	3												-343	887															
27305	421	957	==>	3												421	957															
27306	43	-441	==>	1						43	-441																					
27307	805	445	==>	3												805	445															
27308	-957	990	==>	3												-957	990															
27309	752	-647	==>	3												752	-647															
27310	-685	-233	==>	2									-685	-233																		
27311	12	501	==>	2									12	501																		
27312	-580	646	==>	3												-580	646															
27313	514	114	==>	2									514	114																		
27314	-309	462	==>	2									-309	462																		
27315	23	-872	==>	3												23	-872															
27316	453	861	==>	3												453	861															
27317	323	121	==>	1						323	121																					
27318	841	-138	==>	3												841	-138															
27319	422	-862	==>	3												422	-862															
27320	649	-996	==>	3												649	-996															
27321	-225	917	==>	3												-225	917															
27322	78	-131	==>	0			78	-131																								
27323	-476	822	==>	3												-476	822															
27324	136	532	==>	2									136	532																		
27325	-815	-735	==>	3												-815	-735															
27326	-110	360	==>	1						-110	360																					
27327	129	758	==>	3												129	758															
27328	684	-73	==>	2									684	-73																		
27329	575	629	==>	3												575	629															
27330	-262	-308	==>	1						-262	-308																					
27331	950	-548	==>	3												950	-548															
27332	328	692	==>	3												328	692															
27333	683	-220	==>	2									683	-220																		
27334	-135	52	==>	0			-135	52																								
27335	-217	-444	==>	1						-217	-444																					
27336	-768	-304	==>	3												-768	-304															
27337	-929	969	==>	3												-929	969															
27338	775	-353	==>	3												775	-353															
27339	261	147	==>	1						261	147																					
27340	-787	75	==>	3												-787	75															
27341	902	738	==>	3												902	738															
27342	-759	758	==>	3												-759	758															
27343	518	272	==>	2									518	272																		
27344	-202	-146	==>	0			-202	-146																								
27345	824	996	==>	3												824	996															
27346	57	-299	==>	1						57	-299																					
27347	-290	-146	==>	1						-290	-146																					
27348	-750	-525	==>	3												-750	-525															
27349	794	956	==>	3												794	956															
27350	-109	640	==>	2									-109	640																		
27351	871	-566	==>	3												871	-566															
27352	806	-254	==>	3												806	-254															
27353	-700	-441	==>	3												-700	-441															
27354	-921	-960	==>	3												-921	-960															
27355	-365	489	==>	2									-365	489																		
27356	-171	-858	==>	3												-171	-858															
27357	-112	-835	==>	3												-112	-835															
27358	958	-483	==>	3												958	-483															
27359	62	-979	==>	3												62	-979															
27360	674	102	==>	2									674	102																		
27361	860	-174	==>	3												860	-174															
27362	-486	80	==>	1						-486	80																					
27363	79	-17	==>	0			79	-17																								
27364	-323	801	==>	3												-323	801															
27365	426	819	==>	3												426	819															
27366	-387	-687	==>	3												-387	-687															
27367	-229	-926	==>	3												-229	-926															
27368	-204	77	==>	0			-204	77																								
27369	-897	602	==>	3												-897	602															
27370	-219	298	==>	1						-219	298																					
27371	-988	-136	==>	3												-988	-136															
27372	-217	613	==>	2									-217	613																		
27373	-225	-943	==>	3												-225	-943															
27374	485	-627	==>	3												485	-627															
27375	-310	495	==>	2									-310	495																		
27376	678	842	==>	3												678	842															
27377	719	422	==>	3												719	422															
27378	-35	-616	==>	2									-35	-616																		
27379	-123	221	==>	1						-123	221																					
27380	315	-807	==>	3												315	-807															
27381	643	-772	==>	3												643	-772															
27382	-782	993	==>	3												-782	993															
27383	-610	-845	==>	3												-610	-845															
27384	-351	540	==>	2									-351	540																		
27385	-90	789	==>	3												-90	789															
27386	-124	636	==>	2									-124	636																		
27387	-979	585	==>	3												-979	585															
27388	682	-566	==>	3												682	-566															
27389	631	481	==>	3												631	481															
27390	678	-481	==>	3												678	-481															
27391	-490	487	==>	2									-490	487																		
27392	-657	388	==>	3												-657	388															
27393	872	780	==>	3												872	780															
27394	756	627	==>	3												756	627															
27395	-677	-754	==>	3												-677	-754															
27396	-326	96	==>	1						-326	96																					
27397	88	-407	==>	1						88	-407																					
27398	233	789	==>	3												233	789															
27399	684	657	==>	3												684	657															
27400	-376	-872	==>	3												-376	-872															
27401	373	284	==>	1						373	284																					
27402	988	160	==>	3												988	160															
27403	-883	129	==>	3												-883	129															
27404	727	-448	==>	3												727	-448															
27405	-685	197	==>	2									-685	197																		
27406	-973	111	==>	3												-973	111															
27407	459	-52	==>	1						459	-52																					
27408	866	-20	==>	3												866	-20															
27409	583	96	==>	2									583	96																		
27410	-990	-567	==>	3												-990	-567															
27411	679	898	==>	3												679	898															
27412	-711	-116	==>	2									-711	-116																		
27413	267	883	==>	3												267	883															
27414	-320	-89	==>	1						-320	-89																					
27415	-995	-355	==>	3												-995	-355															
27416	-350	-460	==>	2									-350	-460																		
27417	11	19	==>	0			11	19																								
27418	-623	-496	==>	3												-623	-496															
27419	368	269	==>	1						368	269																					
27420	-780	981	==>	3												-780	981															
27421	-878	-700	==>	3												-878	-700															
27422	436	-156	==>	1						436	-156																					
27423	-49	131	==>	0			-49	131																								
27424	475	999	==>	3												475	999															
27425	-20	-176	==>	0			-20	-176																								
27426	904	-118	==>	3												904	-118															
27427	252	104	==>	1						252	104																					
27428	936	640	==>	3												936	640															
27429	692	324	==>	3												692	324															
27430	781	885	==>	3												781	885															
27431	963	-227	==>	3												963	-227															
27432	-967	-23	==>	3												-967	-23															
27433	347	836	==>	3												347	836															
27434	717	-943	==>	3												717	-943															
27435	672	296	==>	2									672	296																		
27436	-806	-123	==>	3												-806	-123															
27437	997	-775	==>	3												997	-775															
27438	-768	-919	==>	3												-768	-919															
27439	579	-552	==>	3												579	-552															
27440	773	-678	==>	3												773	-678															
27441	-19	-240	==>	0			-19	-240																								
27442	-391	-193	==>	1						-391	-193																					
27443	-472	-268	==>	2									-472	-268																		
27444	-582	591	==>	3												-582	591															
27445	99	-88	==>	0			99	-88																								
27446	176	775	==>	3												176	775															
27447	-432	995	==>	3												-432	995															
27448	535	425	==>	2									535	425																		
27449	-305	697	==>	3												-305	697															
27450	-685	92	==>	2									-685	92																		
27451	755	-123	==>	3												755	-123															
27452	785	-680	==>	3												785	-680															
27453	678	98	==>	2									678	98																		
27454	-416	366	==>	2									-416	366																		
27455	-232	180	==>	1						-232	180																					
27456	251	-248	==>	1						251	-248																					
27457	-58	-750	==>	3												-58	-750															
27458	570	357	==>	2									570	357																		
27459	-744	-615	==>	3												-744	-615															
27460	556	890	==>	3												556	890															
27461	-344	-450	==>	2									-344	-450																		
27462	-79	-37	==>	0			-79	-37																								
27463	-559	-431	==>	2									-559	-431																		
27464	-487	935	==>	3												-487	935															
27465	-334	688	==>	3												-334	688															
27466	-320	-365	==>	1						-320	-365																					
27467	169	-669	==>	2									169	-669																		
27468	-492	533	==>	2									-492	533																		
27469	-448	815	==>	3												-448	815															
27470	-136	-865	==>	3												-136	-865															
27471	-234	986	==>	3												-234	986															
27472	775	450	==>	3												775	450															
27473	-348	-451	==>	2									-348	-451																		
27474	-994	430	==>	3												-994	430															
27475	-205	176	==>	1						-205	176																					
27476	771	401	==>	3												771	401															
27477	537	-522	==>	2									537	-522																		
27478	351	578	==>	2									351	578																		
27479	-322	-309	==>	1						-322	-309																					
27480	-438	133	==>	1						-438	133																					
27481	-985	-982	==>	3												-985	-982															
27482	598	29	==>	2									598	29																		
27483	865	569	==>	3												865	569															
27484	330	-762	==>	3												330	-762															
27485	-205	962	==>	3												-205	962															
27486	-491	-217	==>	2									-491	-217																		
27487	869	823	==>	3												869	823															
27488	-330	73	==>	1						-330	73																					
27489	907	-181	==>	3												907	-181															
27490	-22	-185	==>	0			-22	-185																								
27491	-882	737	==>	3												-882	737															
27492	-64	911	==>	3												-64	911															
27493	-430	-938	==>	3												-430	-938															
27494	355	424	==>	2									355	424																		
27495	-227	293	==>	1						-227	293																					
27496	-266	-863	==>	3												-266	-863															
27497	-206	662	==>	2									-206	662																		
27498	-588	935	==>	3												-588	935															
27499	-729	-628	==>	3												-729	-628															
27500	816	-707	==>	3												816	-707															
27501	-332	-749	==>	3												-332	-749															
27502	507	-402	==>	2									507	-402																		
27503	555	165	==>	2									555	165																		
27504	-715	204	==>	2									-715	204																		
27505	-843	774	==>	3												-843	774															
27506	401	47	==>	1						401	47																					
27507	-757	76	==>	3												-757	76															
27508	949	355	==>	3												949	355															
27509	-415	-430	==>	2									-415	-430																		
27510	-113	701	==>	2									-113	701																		
27511	401	252	==>	1						401	252																					
27512	457	777	==>	3												457	777															
27513	-368	-356	==>	2									-368	-356																		
27514	957	-233	==>	3												957	-233															
27515	993	-104	==>	3												993	-104															
27516	-799	-513	==>	3												-799	-513															
27517	-211	-59	==>	0			-211	-59																								
27518	-439	397	==>	2									-439	397																		
27519	776	643	==>	3												776	643															
27520	558	567	==>	3												558	567															
27521	-147	-960	==>	3												-147	-960															
27522	956	-17	==>	3												956	-17															
27523	-985	-148	==>	3												-985	-148															
27524	-265	374	==>	1						-265	374																					
27525	-150	-172	==>	0			-150	-172																								
27526	315	-935	==>	3												315	-935															
27527	-855	-904	==>	3												-855	-904															
27528	-383	457	==>	2									-383	457																		
27529	589	-30	==>	2									589	-30																		
27530	626	-395	==>	2									626	-395																		
27531	-316	-617	==>	2									-316	-617																		
27532	-122	-468	==>	1						-122	-468																					
27533	859	-795	==>	3												859	-795															
27534	-860	537	==>	3												-860	537															
27535	-120	192	==>	0			-120	192																								
27536	675	-617	==>	3												675	-617															
27537	452	-427	==>	2									452	-427																		
27538	-178	-204	==>	1						-178	-204																					
27539	891	885	==>	3												891	885															
27540	-761	-462	==>	3												-761	-462															
27541	853	567	==>	3												853	567															
27542	858	-649	==>	3												858	-649															
27543	766	-837	==>	3												766	-837															
27544	908	861	==>	3												908	861															
27545	383	771	==>	3												383	771															
27546	-697	-284	==>	3												-697	-284															
27547	608	-197	==>	2									608	-197																		
27548	-867	-360	==>	3												-867	-360															
27549	370	334	==>	1						370	334																					
27550	-870	475	==>	3												-870	475															
27551	-954	-525	==>	3												-954	-525															
27552	271	229	==>	1						271	229																					
27553	-287	-757	==>	3												-287	-757															
27554	-271	-590	==>	2									-271	-590																		
27555	944	729	==>	3												944	729															
27556	217	-657	==>	2									217	-657																		
27557	305	-358	==>	1						305	-358																					
27558	503	-931	==>	3												503	-931															
27559	427	656	==>	3												427	656															
27560	263	31	==>	1						263	31																					
27561	-484	-134	==>	2									-484	-134																		
27562	-357	-532	==>	2									-357	-532																		
27563	-142	289	==>	1						-142	289																					
27564	624	590	==>	3												624	590															
27565	248	-256	==>	1						248	-256																					
27566	-303	-368	==>	1						-303	-368																					
27567	278	-116	==>	1						278	-116																					
27568	-639	-390	==>	2									-639	-390																		
27569	316	-745	==>	3												316	-745															
27570	-313	420	==>	2									-313	420																		
27571	-711	-334	==>	3												-711	-334															
27572	-332	210	==>	1						-332	210																					
27573	-867	-757	==>	3												-867	-757															
27574	517	693	==>	3												517	693															
27575	978	-271	==>	3												978	-271															
27576	211	500	==>	2									211	500																		
27577	145	-153	==>	0			145	-153																								
27578	-635	-455	==>	3												-635	-455															
27579	787	273	==>	3												787	273															
27580	686	-337	==>	3												686	-337															
27581	-358	-595	==>	2									-358	-595																		
27582	779	-465	==>	3												779	-465															
27583	411	-885	==>	3												411	-885															
27584	-584	-691	==>	3												-584	-691															
27585	246	-848	==>	3												246	-848															
27586	-308	-179	==>	1						-308	-179																					
27587	868	-939	==>	3												868	-939															
27588	-388	274	==>	1						-388	274																					
27589	-866	-529	==>	3												-866	-529															
27590	-417	17	==>	1						-417	17																					
27591	453	477	==>	2									453	477																		
27592	-52	165	==>	0			-52	165																								
27593	430	-436	==>	2									430	-436																		
27594	389	-830	==>	3												389	-830															
27595	714	-515	==>	3												714	-515															
27596	-187	-155	==>	0			-187	-155																								
27597	133	-25	==>	0			133	-25																								
27598	-626	-188	==>	2									-626	-188																		
27599	678	803	==>	3												678	803															
27600	-284	-316	==>	1						-284	-316																					
27601	-512	-829	==>	3												-512	-829															
27602	804	-940	==>	3												804	-940															
27603	238	656	==>	2									238	656																		
27604	-122	-976	==>	3												-122	-976															
27605	464	-23	==>	1						464	-23																					
27606	-630	935	==>	3												-630	935															
27607	497	866	==>	3												497	866															
27608	-731	-585	==>	3												-731	-585															
27609	970	282	==>	3												970	282															
27610	-732	96	==>	2									-732	96																		
27611	217	817	==>	3												217	817															
27612	-400	698	==>	3												-400	698															
27613	-687	-761	==>	3												-687	-761															
27614	683	-157	==>	2									683	-157																		
27615	785	536	==>	3												785	536															
27616	995	802	==>	3												995	802															
27617	35	-901	==>	3												35	-901															
27618	285	-233	==>	1						285	-233																					
27619	783	-720	==>	3												783	-720															
27620	-247	446	==>	2									-247	446																		
27621	145	-109	==>	0			145	-109																								
27622	-605	-904	==>	3												-605	-904															
27623	-767	453	==>	3												-767	453															
27624	-228	-6	==>	0			-228	-6																								
27625	-417	-901	==>	3												-417	-901															
27626	-30	967	==>	3												-30	967															
27627	702	678	==>	3												702	678															
27628	591	-934	==>	3												591	-934															
27629	419	532	==>	2									419	532																		
27630	539	324	==>	2									539	324																		
27631	-379	981	==>	3												-379	981															
27632	-631	-772	==>	3												-631	-772															
27633	-469	632	==>	3												-469	632															
27634	26	-757	==>	3												26	-757															
27635	718	917	==>	3												718	917															
27636	-884	-545	==>	3												-884	-545															
27637	-363	326	==>	1						-363	326																					
27638	237	-539	==>	2									237	-539																		
27639	744	-119	==>	3												744	-119															
27640	945	-284	==>	3												945	-284															
27641	-694	309	==>	3												-694	309															
27642	313	175	==>	1						313	175																					
27643	404	205	==>	1						404	205																					
27644	-783	-71	==>	3												-783	-71															
27645	-515	315	==>	2									-515	315																		
27646	-593	487	==>	3												-593	487															
27647	901	-31	==>	3												901	-31															
27648	403	-687	==>	3												403	-687															
27649	408	-194	==>	1						408	-194																					
27650	122	971	==>	3												122	971															
27651	-917	642	==>	3												-917	642															
27652	-700	-898	==>	3												-700	-898															
27653	-29	-913	==>	3												-29	-913															
27654	248	315	==>	1						248	315																					
27655	-404	-696	==>	3												-404	-696															
27656	440	-605	==>	2									440	-605																		
27657	829	-314	==>	3												829	-314															
27658	314	-139	==>	1						314	-139																					
27659	741	833	==>	3												741	833															
27660	-716	-801	==>	3												-716	-801															
27661	-595	-263	==>	2									-595	-263																		
27662	-831	883	==>	3												-831	883															
27663	819	412	==>	3												819	412															
27664	-522	-527	==>	2									-522	-527																		
27665	-816	-224	==>	3												-816	-224															
27666	946	-676	==>	3												946	-676															
27667	-683	-97	==>	2									-683	-97																		
27668	233	-630	==>	2									233	-630																		
27669	-953	-898	==>	3												-953	-898															
27670	840	-741	==>	3												840	-741															
27671	-37	40	==>	0			-37	40																								
27672	-638	-873	==>	3												-638	-873															
27673	-366	554	==>	2									-366	554																		
27674	624	-945	==>	3												624	-945															
27675	389	379	==>	2									389	379																		
27676	-726	927	==>	3												-726	927															
27677	-916	287	==>	3												-916	287															
27678	-876	164	==>	3												-876	164															
27679	317	-399	==>	2									317	-399																		
27680	-574	266	==>	2									-574	266																		
27681	-53	-395	==>	1						-53	-395																					
27682	-575	-798	==>	3												-575	-798															
27683	117	800	==>	3												117	800															
27684	-699	-481	==>	3												-699	-481															
27685	-14	419	==>	1						-14	419																					
27686	-801	-355	==>	3												-801	-355															
27687	-798	921	==>	3												-798	921															
27688	-161	716	==>	2									-161	716																		
27689	-365	146	==>	1						-365	146																					
27690	-259	-679	==>	2									-259	-679																		
27691	69	522	==>	2									69	522																		
27692	257	-770	==>	3												257	-770															
27693	-572	225	==>	2									-572	225																		
27694	417	-49	==>	1						417	-49																					
27695	812	-90	==>	3												812	-90															
27696	-327	393	==>	2									-327	393																		
27697	440	-89	==>	1						440	-89																					
27698	-18	830	==>	3												-18	830															
27699	-203	244	==>	1						-203	244																					
27700	479	-185	==>	2									479	-185																		
27701	-86	644	==>	2									-86	644																		
27702	0	-288	==>	1						0	-288																					
27703	358	-918	==>	3												358	-918															
27704	-188	543	==>	2									-188	543																		
27705	400	-751	==>	3												400	-751															
27706	-851	756	==>	3												-851	756															
27707	896	107	==>	3												896	107															
27708	-453	-771	==>	3												-453	-771															
27709	996	66	==>	3												996	66															
27710	397	-37	==>	1						397	-37																					
27711	551	444	==>	2									551	444																		
27712	670	-518	==>	3												670	-518															
27713	410	-780	==>	3												410	-780															
27714	24	967	==>	3												24	967															
27715	-506	-989	==>	3												-506	-989															
27716	-15	-629	==>	2									-15	-629																		
27717	-392	72	==>	1						-392	72																					
27718	909	-119	==>	3												909	-119															
27719	879	-404	==>	3												879	-404															
27720	-540	266	==>	2									-540	266																		
27721	-928	124	==>	3												-928	124															
27722	178	-436	==>	1						178	-436																					
27723	-397	276	==>	1						-397	276																					
27724	-950	-678	==>	3												-950	-678															
27725	354	-899	==>	3												354	-899															
27726	261	458	==>	2									261	458																		
27727	961	-961	==>	3												961	-961															
27728	326	437	==>	2									326	437																		
27729	824	-824	==>	3												824	-824															
27730	376	902	==>	3												376	902															
27731	-38	608	==>	2									-38	608																		
27732	-508	-127	==>	2									-508	-127																		
27733	-934	551	==>	3												-934	551															
27734	-561	-972	==>	3												-561	-972															
27735	606	274	==>	2									606	274																		
27736	-800	-313	==>	3												-800	-313															
27737	-342	-196	==>	1						-342	-196																					
27738	-421	124	==>	1						-421	124																					
27739	178	-666	==>	2									178	-666																		
27740	-657	-378	==>	3												-657	-378															
27741	932	-693	==>	3												932	-693															
27742	-597	579	==>	3												-597	579															
27743	730	688	==>	3												730	688															
27744	-75	-44	==>	0			-75	-44																								
27745	-482	-236	==>	2									-482	-236																		
27746	925	32	==>	3												925	32															
27747	-3	-293	==>	1						-3	-293																					
27748	-382	-496	==>	2									-382	-496																		
27749	-141	621	==>	2									-141	621																		
27750	868	209	==>	3												868	209															
27751	639	-347	==>	2									639	-347																		
27752	-384	747	==>	3												-384	747															
27753	173	442	==>	1						173	442																					
27754	730	60	==>	2									730	60																		
27755	-989	666	==>	3												-989	666															
27756	-404	812	==>	3												-404	812															
27757	-263	-568	==>	2									-263	-568																		
27758	-930	-349	==>	3												-930	-349															
27759	159	-955	==>	3												159	-955															
27760	637	11	==>	2									637	11																		
27761	-884	94	==>	3												-884	94															
27762	-669	284	==>	2									-669	284																		
27763	792	59	==>	3												792	59															
27764	-698	588	==>	3												-698	588															
27765	74	-407	==>	1						74	-407																					
27766	-24	587	==>	2									-24	587																		
27767	-305	-646	==>	2									-305	-646																		
27768	390	-114	==>	1						390	-114																					
27769	-931	-332	==>	3												-931	-332															
27770	432	391	==>	2									432	391																		
27771	529	-391	==>	2									529	-391																		
27772	435	858	==>	3												435	858															
27773	209	485	==>	2									209	485																		
27774	-79	-898	==>	3												-79	-898															
27775	-410	131	==>	1						-410	131																					
27776	-202	721	==>	2									-202	721																		
27777	676	394	==>	3												676	394															
27778	743	123	==>	3												743	123															
27779	801	-636	==>	3												801	-636															
27780	-357	376	==>	2									-357	376																		
27781	939	251	==>	3												939	251															
27782	522	-575	==>	3												522	-575															
27783	530	162	==>	2									530	162																		
27784	585	468	==>	2									585	468																		
27785	797	313	==>	3												797	313															
27786	-673	-974	==>	3												-673	-974															
27787	-5	-990	==>	3												-5	-990															
27788	-133	-920	==>	3												-133	-920															
27789	-557	676	==>	3												-557	676															
27790	819	-754	==>	3												819	-754															
27791	-234	705	==>	2									-234	705																		
27792	195	-869	==>	3												195	-869															
27793	-733	802	==>	3												-733	802															
27794	87	114	==>	0			87	114																								
27795	-341	-382	==>	2									-341	-382																		
27796	-20	-954	==>	3												-20	-954															
27797	-233	151	==>	1						-233	151																					
27798	118	166	==>	0			118	166																								
27799	301	-410	==>	2									301	-410																		
27800	-498	431	==>	2									-498	431																		
27801	683	-533	==>	3												683	-533															
27802	-953	403	==>	3												-953	403															
27803	-150	878	==>	3												-150	878															
27804	-652	511	==>	3												-652	511															
27805	536	-310	==>	2									536	-310																		
27806	907	-205	==>	3												907	-205															
27807	255	-608	==>	2									255	-608																		
27808	859	-9	==>	3												859	-9															
27809	820	-990	==>	3												820	-990															
27810	915	573	==>	3												915	573															
27811	690	-801	==>	3												690	-801															
27812	-107	483	==>	1						-107	483																					
27813	657	-461	==>	3												657	-461															
27814	-642	712	==>	3												-642	712															
27815	991	-548	==>	3												991	-548															
27816	-534	561	==>	3												-534	561															
27817	-376	-226	==>	1						-376	-226																					
27818	286	284	==>	1						286	284																					
27819	-990	-906	==>	3												-990	-906															
27820	580	-890	==>	3												580	-890															
27821	-190	-451	==>	1						-190	-451																					
27822	-119	134	==>	0			-119	134																								
27823	-111	-377	==>	1						-111	-377																					
27824	-586	201	==>	2									-586	201																		
27825	843	613	==>	3												843	613															
27826	632	-80	==>	2									632	-80																		
27827	-28	-437	==>	1						-28	-437																					
27828	-444	-496	==>	2									-444	-496																		
27829	149	998	==>	3												149	998															
27830	-883	362	==>	3												-883	362															
27831	-585	-495	==>	3												-585	-495															
27832	-170	650	==>	2									-170	650																		
27833	166	-999	==>	3												166	-999															
27834	-60	-605	==>	2									-60	-605																		
27835	786	693	==>	3												786	693															
27836	-144	546	==>	2									-144	546																		
27837	17	-602	==>	2									17	-602																		
27838	929	180	==>	3												929	180															
27839	-107	267	==>	1						-107	267																					
27840	935	368	==>	3												935	368															
27841	-291	-450	==>	2									-291	-450																		
27842	57	324	==>	1						57	324																					
27843	839	900	==>	3												839	900															
27844	-187	-152	==>	0			-187	-152																								
27845	-786	236	==>	3												-786	236															
27846	-746	868	==>	3												-746	868															
27847	-359	-976	==>	3												-359	-976															
27848	967	-663	==>	3												967	-663															
27849	-706	-746	==>	3												-706	-746															
27850	-463	914	==>	3												-463	914															
27851	540	-550	==>	3												540	-550															
27852	492	632	==>	3												492	632															
27853	-865	-494	==>	3												-865	-494															
27854	-985	385	==>	3												-985	385															
27855	-110	-996	==>	3												-110	-996															
27856	-118	-760	==>	3												-118	-760															
27857	582	-339	==>	2									582	-339																		
27858	209	57	==>	0			209	57																								
27859	672	-653	==>	3												672	-653															
27860	885	615	==>	3												885	615															
27861	831	513	==>	3												831	513															
27862	-953	167	==>	3												-953	167															
27863	493	795	==>	3												493	795															
27864	-937	-951	==>	3												-937	-951															
27865	782	-672	==>	3												782	-672															
27866	21	209	==>	0			21	209																								
27867	-759	-570	==>	3												-759	-570															
27868	-736	106	==>	2									-736	106																		
27869	360	-735	==>	3												360	-735															
27870	159	521	==>	2									159	521																		
27871	-803	162	==>	3												-803	162															
27872	-620	62	==>	2									-620	62																		
27873	-506	-870	==>	3												-506	-870															
27874	-826	-75	==>	3												-826	-75															
27875	-751	903	==>	3												-751	903															
27876	452	967	==>	3												452	967															
27877	415	-649	==>	3												415	-649															
27878	51	-921	==>	3												51	-921															
27879	-299	772	==>	3												-299	772															
27880	-244	710	==>	3												-244	710															
27881	57	-426	==>	1						57	-426																					
27882	184	-474	==>	2									184	-474																		
27883	-98	-566	==>	2									-98	-566																		
27884	752	633	==>	3												752	633															
27885	109	-384	==>	1						109	-384																					
27886	-195	891	==>	3												-195	891															
27887	-907	-765	==>	3												-907	-765															
27888	-418	652	==>	3												-418	652															
27889	47	473	==>	1						47	473																					
27890	-765	54	==>	3												-765	54															
27891	-828	383	==>	3												-828	383															
27892	-784	-144	==>	3												-784	-144															
27893	-182	-530	==>	2									-182	-530																		
27894	-408	961	==>	3												-408	961															
27895	175	770	==>	3												175	770															
27896	495	955	==>	3												495	955															
27897	979	249	==>	3												979	249															
27898	235	82	==>	0			235	82																								
27899	-496	207	==>	2									-496	207																		
27900	-651	-411	==>	3												-651	-411															
27901	-332	982	==>	3												-332	982															
27902	-407	-877	==>	3												-407	-877															
27903	118	-341	==>	1						118	-341																					
27904	-767	109	==>	3												-767	109															
27905	-68	-312	==>	1						-68	-312																					
27906	-689	-897	==>	3												-689	-897															
27907	-907	466	==>	3												-907	466															
27908	469	297	==>	2									469	297																		
27909	-322	-149	==>	1						-322	-149																					
27910	843	922	==>	3												843	922															
27911	437	985	==>	3												437	985															
27912	-244	-224	==>	1						-244	-224																					
27913	984	-835	==>	3												984	-835															
27914	-630	-20	==>	2									-630	-20																		
27915	-65	793	==>	3												-65	793															
27916	900	-725	==>	3												900	-725															
27917	678	-231	==>	2									678	-231																		
27918	-986	154	==>	3												-986	154															
27919	-789	740	==>	3												-789	740															
27920	-681	-329	==>	3												-681	-329															
27921	409	-32	==>	1						409	-32																					
27922	-265	-951	==>	3												-265	-951															
27923	840	-224	==>	3												840	-224															
27924	967	-121	==>	3												967	-121															
27925	-495	-968	==>	3												-495	-968															
27926	-389	953	==>	3												-389	953															
27927	272	-88	==>	1						272	-88																					
27928	-967	874	==>	3												-967	874															
27929	808	822	==>	3												808	822															
27930	-938	-142	==>	3												-938	-142															
27931	-952	-599	==>	3												-952	-599															
27932	-937	919	==>	3												-937	919															
27933	-350	639	==>	2									-350	639																		
27934	-242	-535	==>	2									-242	-535																		
27935	-217	-623	==>	2									-217	-623																		
27936	-935	-496	==>	3												-935	-496															
27937	-392	-444	==>	2									-392	-444																		
27938	-525	405	==>	2									-525	405																		
27939	-61	-763	==>	3												-61	-763															
27940	484	-99	==>	1						484	-99																					
27941	810	-901	==>	3												810	-901															
27942	-98	-415	==>	1						-98	-415																					
27943	-926	-10	==>	3												-926	-10															
27944	849	-334	==>	3												849	-334															
27945	-457	846	==>	3												-457	846															
27946	200	886	==>	3												200	886															
27947	-45	101	==>	0			-45	101																								
27948	85	-889	==>	3												85	-889															
27949	315	-970	==>	3												315	-970															
27950	-205	-151	==>	1						-205	-151																					
27951	-2	-880	==>	3												-2	-880															
27952	290	700	==>	3												290	700															
27953	-769	674	==>	3												-769	674															
27954	913	-213	==>	3												913	-213															
27955	-126	936	==>	3												-126	936															
27956	-179	-626	==>	2									-179	-626																		
27957	328	402	==>	2									328	402																		
27958	355	310	==>	1						355	310																					
27959	636	743	==>	3												636	743															
27960	753	-295	==>	3												753	-295															
27961	-851	-367	==>	3												-851	-367															
27962	662	771	==>	3												662	771															
27963	165	-653	==>	2									165	-653																		
27964	-681	498	==>	3												-681	498															
27965	409	281	==>	1						409	281																					
27966	865	637	==>	3												865	637															
27967	925	-887	==>	3												925	-887															
27968	270	65	==>	1						270	65																					
27969	-152	241	==>	1						-152	241																					
27970	281	-441	==>	2									281	-441																		
27971	-605	-741	==>	3												-605	-741															
27972	370	235	==>	1						370	235																					
27973	11	-723	==>	2									11	-723																		
27974	674	-922	==>	3												674	-922															
27975	-772	856	==>	3												-772	856															
27976	531	690	==>	3												531	690															
27977	373	-950	==>	3												373	-950															
27978	-613	106	==>	2									-613	106																		
27979	-767	672	==>	3												-767	672															
27980	-937	304	==>	3												-937	304															
27981	535	74	==>	2									535	74																		
27982	556	476	==>	2									556	476																		
27983	385	367	==>	2									385	367																		
27984	87	-242	==>	1						87	-242																					
27985	36	726	==>	2									36	726																		
27986	10	-594	==>	2									10	-594																		
27987	860	536	==>	3												860	536															
27988	198	563	==>	2									198	563																		
27989	-533	747	==>	3												-533	747															
27990	332	-764	==>	3												332	-764															
27991	296	-254	==>	1						296	-254																					
27992	562	-401	==>	2									562	-401																		
27993	834	-264	==>	3												834	-264															
27994	730	-334	==>	3												730	-334															
27995	324	-11	==>	1						324	-11																					
27996	-929	-535	==>	3												-929	-535															
27997	86	-790	==>	3												86	-790															
27998	657	550	==>	3												657	550															
27999	-111	-943	==>	3												-111	-943															
28000	-934	-779	==>	3												-934	-779															
28001	20	-708	==>	2									20	-708																		
28002	-833	329	==>	3												-833	329															
28003	244	-602	==>	2									244	-602																		
28004	746	-635	==>	3												746	-635															
28005	305	177	==>	1						305	177																					
28006	648	586	==>	3												648	586															
28007	-662	-873	==>	3												-662	-873															
28008	-102	765	==>	3												-102	765															
28009	154	-191	==>	0			154	-191																								
